Level,Name,Value,Description
0,"CPU","598 Registers","CPU Registers"
 1,"Core","25 Registers","CPU registers"
 1,"Core_S","8 Registers","Secure CPU registers"
 1,"Core_NS","8 Registers","Non-Secure CPU registers"
 1,"FPU","33 Registers","FPU Registers"
 1,"FPU (Double)","17 Registers","FPU Registers (double-precision)"
 1,"Peripherals","507 Registers","Memory-Mapped CPU Registers"
0,"Peripherals","16876 Registers","Memory-Mapped Registers"
 1,"ADC","152 Registers",
  2,"ADC1","38 Registers","Analog-to-digital converters"
   3,"ADC_ISR",0x0000001F,"ADC interrupt and status register"
   3,"ADC_IER",0x00000000,"ADC interrupt enable register"
   3,"ADC_CR",0x00000005,"ADC control register"
    4,"ADEN","B_0x1(1)","ADC enable control"
    4,"ADDIS","B_0x0(0)","ADC disable command"
    4,"ADSTART","B_0x1(1)","ADC start of regular conversion"
    4,"JADSTART","B_0x0(0)","ADC start of injected conversion"
    4,"ADSTP","B_0x0(0)","ADC stop of regular conversion command"
    4,"JADSTP","B_0x0(0)","ADC stop of injected conversion command"
    4,"DEEPPWD","B_0x0(0)","Deep-power-down enable"
    4,"ADCALDIF","B_0x0(0)","Differential mode for calibration"
    4,"ADCAL","B_0x0(0)","ADC calibration"
   3,"ADC_CFGR1",0x80003000,"ADC configuration register"
   3,"ADC_CFGR2",0x00000000,"ADC configuration register 2"
   3,"ADC_SMPR1",0x00000028,"ADC sample time register 1"
   3,"ADC_SMPR2",0x00000000,"ADC sample time register 2"
   3,"ADC_PCSEL",0x00000002,"ADC channel preselection register"
   3,"ADC_SQR1",0x00000040,"ADC regular sequence register 1"
   3,"ADC_SQR2",0x00000000,"ADC regular sequence register 2"
   3,"ADC_SQR3",0x00000000,"ADC regular sequence register 3"
   3,"ADC_SQR4",0x00000000,"ADC regular sequence register 4"
   3,"ADC_DR",0x000004FE,"ADC regular data register"
   3,"ADC_JSQR",0x00000000,"ADC injected sequence register"
   3,"ADC_OFCFGR1",0x00000000,"ADC offset 1 configuration register"
   3,"ADC_OFCFGR2",0x00000000,"ADC offset 2 configuration register"
   3,"ADC_OFCFGR3",0x00000000,"ADC offset 3 configuration register"
   3,"ADC_OFCFGR4",0x00000000,"ADC offset 4 configuration register"
   3,"ADC_OFR1",0x00000000,"ADC offset 1 register"
   3,"ADC_OFR2",0x00000000,"ADC offset 2 register"
   3,"ADC_OFR3",0x00000000,"ADC offset 3 register"
   3,"ADC_OFR4",0x00000000,"ADC offset 4 register"
   3,"ADC_GCOMP",0x00001000,"ADC gain compensation register"
   3,"ADC_JDR1",0x00000000,"ADC injected channel 1 data register"
   3,"ADC_JDR2",0x00000000,"ADC injected channel 2 data register"
   3,"ADC_JDR3",0x00000000,"ADC injected channel 3 data register"
   3,"ADC_JDR4",0x00000000,"ADC injected channel 4 data register"
   3,"ADC_AWD2CR",0x00000000,"ADC Analog Watchdog 2 Configuration Register"
   3,"ADC_AWD3CR",0x00000000,"ADC Analog Watchdog 3 Configuration Register"
   3,"ADC_AWD1LTR",0x00000000,"ADC analog watchdog 1 lower threshold register"
   3,"ADC_AWD1HTR",0x003FFFFF,"ADC analog watchdog 1 higher threshold register"
   3,"ADC_AWD2LTR",0x00000000,"ADC analog watchdog 2 lower threshold register"
   3,"ADC_AWD2HTR",0x003FFFFF,"ADC analog watchdog 2 higher threshold register"
   3,"ADC_AWD3LTR",0x00000000,"ADC analog watchdog 3 lower threshold register"
   3,"ADC_AWD3HTR",0x003FFFFF,"ADC analog watchdog 3 higher threshold register"
   3,"ADC_DIFSEL",0x00000000,"ADC Differential mode selection register"
   3,"ADC_CALFACT",0x00000000,"ADC calibration factors"
   3,"ADC_OR",0x00000000,"ADC option register"
  2,"ADC1_S","38 Registers","Analog-to-digital converters"
  2,"ADC2","38 Registers","Analog-to-digital converters"
  2,"ADC2_S","38 Registers","Analog-to-digital converters"
 1,"ADC12","8 Registers",
 1,"ADF","30 Registers",
 1,"BSEC","932 Registers",
 1,"CACHEAXI","30 Registers",
 1,"CRC","10 Registers",
 1,"CRYP","72 Registers",
 1,"CSI","88 Registers",
 1,"DBGMCU","26 Registers",
 1,"DCMI","22 Registers",
 1,"DCMIPP","480 Registers",
 1,"DLYBSD","8 Registers",
 1,"DMA2D","1070 Registers",
 1,"DTS","84 Registers",
 1,"ETH","410 Registers",
 1,"EXTI","64 Registers",
 1,"FDCAN","420 Registers",
 1,"FMC","100 Registers",
 1,"GFXMMU","4114 Registers",
 1,"GFXTIM","52 Registers",
 1,"GPDMA","346 Registers",
 1,"GPIO","64 Registers",
 1,"HASH","258 Registers",
 1,"HDP","12 Registers",
 1,"HPDMA","410 Registers",
 1,"I2C","88 Registers",
 1,"I3C","124 Registers",
 1,"ICACHE","12 Registers",
 1,"IWDG","14 Registers",
 1,"JPEG","1008 Registers",
 1,"LPTIM","138 Registers",
 1,"LPUART","24 Registers",
 1,"LTDC","140 Registers",
 1,"MCE","384 Registers",
 1,"MDF","196 Registers",
 1,"MDIOS","142 Registers",
 1,"OTG","964 Registers",
 1,"PKA","6 Registers",
 1,"PSSI","14 Registers",
 1,"PWR","34 Registers",
  2,"PWR","17 Registers","Power control"
   3,"PWR_CR1",0x00000020,"PWR control register 1"
   3,"PWR_CR2",0x00000000,"PWR control register 2"
   3,"PWR_CR3",0x00000000,"PWR control register 3"
   3,"PWR_CR4",0x00000000,"PWR control register 4"
   3,"PWR_VOSCR",0x00020002,"PWR voltage scaling control register"
    4,"VOS","B_0x0(0)","Voltage scaling selection according to performance"
    4,"VOSRDY","B_0x1(1)","VOS ready bit for Vless thansub>COREless than/sub> voltage scaling output selection"
    4,"ACTVOS",0,"VOS currently applied for Vless thansub>COREless than/sub> voltage scaling selection"
    4,"ACTVOSRDY","B_0x1(1)","Voltage level ready bit for currently used ACTVOS"
   3,"PWR_BDCR1",0x00000000,"PWR backup domain control register 1"
    4,"MONEN","B_0x0(0)","Vless thansub>BATless than/sub> and temperature monitoring enable"
    4,"VBATL","B_0x0(0)","Vless thansub>BATless than/sub> level monitoring versus low threshold"
    4,"VBATH","B_0x0(0)","Vless thansub>BATless than/sub> level monitoring versus high threshold"
    4,"TEMPL","B_0x0(0)","Temperature level monitoring versus low threshold"
    4,"TEMPH","B_0x0(0)","Temperature level monitoring versus high threshold"
   3,"PWR_BDCR2",0x00000000,"PWR backup domain control register 2"
    4,"BKPRBSEN","B_0x0(0)","Backup RAM backup supply enable (used to maintain BKPRAM content in Standby and Vless thansub>BATless than/sub> modes)."
   3,"PWR_DBPCR",0x00000000,"PWR disable backup protection control register"
    4,"DBP","B_0x0(0)","Disable backup domain write protection"
   3,"PWR_CPUCR",0x00010000,"PWR CPU control register"
    4,"PDDS","B_0x0(0)","Power-down deepsleep selection"
    4,"CSSF","B_0x0(0)","Clear Standby and Stop flags (always read as 0)"
    4,"STOPF","B_0x0(0)","Stop flag"
    4,"SBF","B_0x0(0)","Standby flag"
    4,"SVOS","B_0x1(1)","System Stop mode voltage scaling selection"
   3,"PWR_SVMCR1",0x00000000,"PWR supply voltage monitoring control register 1"
    4,"VDDIO4VMEN","B_0x0(0)","Vless thansub>DDIO4 less than/sub>independent I/O voltage monitor enable"
